Event name,Date,Start Time,End Time,Artists,Venue,Event URL,Number of guests attending
Zweitausendneunzehn,2018-12-31T00:00:00.000,2018-12-31T22:00:00.000,2019-01-02T07:00:00.000,"Cleric, Psyk, SHXCXCHCXSH, Clouds, Kwartz, Setaoc Mass, Subjected, Vault Series, Inhalt der Nacht, Acierate, Tham, Esposito, Michael Nadjé, Shed, Mumdance, Vakula, Willow, Hodge, Livity Sound, Peach, Olivia, Tasha, LSDXOXO, Franklin De Costa, Qzen, DJ Normal 4, LNS, Finn Johannsen, Prantel, Forsberg",Griessmuehle,/events/1188992,1533
NYE - Der Goldene Reiter - 39h non Stop (Part 1),2018-12-31T00:00:00.000,2018-12-31T21:00:00.000,2019-01-02T12:00:00.000,"Kornél Kovács, Ata, Baltra, Damiano von Erckert, Mike Dehnert, Adam Aalias, Albert van Abbe, Alison Swing, Budino, Dj Longsleeve, Homeboy, Jamaica Suk, Jetti, Johannes Albert, Kris Baha, Marlon Hoffstadt, Michal Zietara, Niklas Wandt, Peak, Peak & Swift, Philipp Schultheis, S Ruston, Sabine Hoffmann, Samuel Gieben, Sebastian Voigt, The Vandelays, Tomislav, Wayne Holland, Sado Opera, Vladyhell, Victor Kubin, Andre Fau",Renate,/events/1181820,1181
Anomalie´s NYE Transformation - 40h Rave,2018-12-31T00:00:00.000,2018-12-31T20:00:00.000,2019-01-02T12:00:00.000,"DJ Hell, Thomas Schumacher, Hans Bouffmyhre, Lex Gorrie, Dubspeeka, Schacke, Joachim Spieth, Nicorus, Shlomsen, Abyssal Chaos, Johnny Kaos, Ben Bear, Igor Ochoa, Patrick Milaa, Robert Babicz, Okain, Frag Maddin, Red pig flower, Cotumo, M.in, Soul Bait, freedomB, Marvin Hey, Bianka Banks, Till Noon, Maurice Mino, Sin:port, Dario (DE), V ka, Friendly Ghost, S.lim, Bombata & The Fox, Nadja",Anomalie Art Club,/events/1095483,876
HYTE NYE Berlin 2018,2018-12-31T00:00:00.000,2018-12-31T18:00:00.000,2019-01-01T18:00:00.000,"Adam Beyer, Amelie Lens, Anthea, Archie Hamilton, Black Loops, Butch, Caleb Calloway, Chris Liebing, Djebali, Fabio Florido, Federico Gardenghi, Ferro, Gregor Tresher, Guti, Mahony, Pan-Pot, Richie Hawtin, Soulphiction, Stephan Bodzin, wAFF, Woody, Yaya",Funkhaus Berlin,/events/1165406,828
Blankdown - NYE,2018-12-31T00:00:00.000,2018-12-31T23:59:00.000,2019-01-02T08:00:00.000,"XDB, Sunil Sharpe, Stanley Schmidt, Solaris, Simo Cell, Livity Sound, Rotciv, Ron Wilson, Fernweh, Natascha Kann, Murat Önen, Mor Elian, Kwaint, Kvrt, Jessamine, Hang Aoki, DASCO, Cio D'Or, Caleb ESC, Backyard Aliens, Blind Observatory, Barbara Hofmann, Anetha, Akmê",://about blank,/events/1188038,648
Libertine NYD Afterhour,2019-01-01T00:00:00.000,2019-01-01T10:00:00.000,2019-01-02T10:00:00.000,"Andrew James Gustav, Binh, DJ Masda, Evan Baggs, Gabriel (2), Saverio Celestri, Sbri, Cecilio, DJ Tree, Laurine, Spacetravel, Trippsy, Haathi, Yoshi (DE)",Void Club,/events/1153620,516
Silvester Klubnacht,2019-01-01T00:00:00.000,2019-01-01T01:00:00.000,2019-01-03T06:00:00.000,"Answer Code Request, Boris, Dr. Rubinstein, Efdemin, Fiedel, Function, Kobosil, Luke Slater, Marcel Dettmann, Norman Nodge, Phase Fatale, Rødhåd, Somewhen, Steffi, Terence Fixmer, Volvox, Cormac, Derrick Carter, Gerd Janson, Honey Dijon, Massimiliano Pagliara, nd_baumecker, Sound Metaphors Djs, Castro Moore, Nick Höppner, Roi Perez, Ryan Elliott, Tama Sumo, Tornado Wallace, Virginia, Chris Cruse, Dan Beaumont, Discodromo, Heidi Lawden, Lovefingers, I-F, Luigi Di Venere, PARAMIDA, Prins Thomas, Soundstream, Lotus Eater, Lucy, Rrose, Barker, Etapp Kyle, Felix K, Mark Ernestus, Pom Pom, Rabih Beaini, Rachel Lyn, Tricky, Vladimir Ivkovic",Berghain | Panorama Bar | Säule,/events/1184824,349
"Wer Kommt, der Kommt ...",2019-01-01T00:00:00.000,2019-01-01T01:00:00.000,2019-01-02T09:00:00.000,"Asem Shama, Bee Lincoln, C-More, Coco, Daniel Kirchner, Didier Dlb, Empro, Fabian Drews, Johannes Fröhlich, JurieMember, Nils Twachtmann, Chlass, SIOPIS, Steve Challier, The Mony",Hoppetosse,/events/1181274,212
NYE - Der Goldene Reiter - 39h non Stop (Part 2),2019-01-01T00:00:00.000,2019-01-01T12:00:00.000,2019-01-02T12:00:00.000,"Kornél Kovács, Ata, Baltra, Damiano von Erckert, Mike Dehnert, Adam Aalias, Albert van Abbe, Alison Swing, Budino, Dj Longsleeve, Homeboy, Jamaica Suk, Jetti, Johannes Albert, Kris Baha, Marlon Hoffstadt, Michal Zietara, Niklas Wandt, Peak, Peak & Swift, Philipp Schultheis, S Ruston, Sabine Hoffmann, Samuel Gieben, Sebastian Voigt, The Vandelays, Tomislav, Wayne Holland, Sado Opera, Vladyhell, Victor Kubin, Andre Fau",Renate,/events/1181834,164
Sameheads NYE & Jan 1st Secret Location After Party,2018-12-31T00:00:00.000,2018-12-31T21:00:00.000,2019-01-01T23:00:00.000,"Alexander Arpeggio, Dane Close, DON'T DJ, Franz Scala, Kris Baha, Lokier, Marlene Stark",Sameheads,/events/1197660,132
